"Categorie";"Onderdeel";"Nr";"Paragraaf";"Vraag"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"29";"7.5";"Bij de hardheidsclausule wordt aangegeven dat in het kader van de financiële positie ook de financiële reserves van de zorgaanbieder worden betrokken. Veel financiële reserves worden gecreëerd met het oog op investeringen op lange(re) termijn. Wij hebben er bewaar tegen dat die worden betrokken bij de beoordeling van de financiële positie van de zorgaanbieder. Kunt u bevestigen dat doelreserves/voorzieningen geen deel uitmaken van financiële positie in het kader van de beoordeling van de hardheidsclausule?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"30";"7.7";"De vergoeding van sectorvreemde zorg wijzigt. Dat is helder verwoord. Niet helder is de zin dat als een zorgaanbieder sectorvreemde zorg levert, deze met de zorginkoper af moet spreken of de aanbieder deze zorg kan leveren en declareren. Moet ook een zorgaanbieder die al jaren sectorvreemde zorg levert en nu door uw systeemwijziging te maken krijgt met een andere vergoeding het gesprek aan met de zorginkoper of kunt u bevestigen dat het in dei gevallen niet nodig is? Graag uw reactie."
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"31";"8.1";"U geeft aan dat een goede verantwoording van geleverde meerzorg van belang is en dat hiervoor onder meer evaluaties en materiële controles worden ingezet, waarbij van zorgaanbieders wordt verwacht dat zij de inzet van meerzorgmiddelen inhoudelijk en financieel kunnen onderbouwen. In de praktijk ervaren zorgaanbieders de administratieve lasten rondom de verantwoording van meerzorg al jaren als zeer hoog. Kunt u toelichten op welke wijze het zorgkantoor voornemens is deze administratieve lasten te verlagen en te komen tot een meer proportionele en doelmatige verantwoordingssystematiek?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"32";"8.2";"Zorgkantoor Zilveren Kruis stelt als voorwaarden voor MGZ dat er een structurele regionale governance beschikbaar is. Deze voorwaarde vloeit niet voort uit het Convenant. Kan het zorgkantoor toelichten waarom wordt afgeweken van het convenant?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"33";"8.2";"In het inkoopbeleid is opgenomen dat wanneer het aanbieders niet lukt om afspraken te maken, dit gemeld dient te worden bij het zorgkantoor. Het zorgkantoor kan vervolgens landelijk escaleren. In het Convenant is echter afgesproken dat het tot de verantwoordelijkheid van het zorgkantoor behoort om de regio, indien nodig, bijeen te roepen gezamenlijk toe te werken naar een oplossing. Waarom kiest het zorgkantoor ervoor om af te wijken van de afspraken in het Convenant?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"34";"8.2";"Wij merken op dat in deze passage ontbreekt dat zorgkantoren toezeggen bij de MGZ-afspraken passende inkoopafspraken te maken. Kunt u dit alsnog toevoegen? Zo nee, waarom niet?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"35";"8.3";"In paragraaf 8.3 schrijft u dat u VPT zorg alleen nog afspreekt zonder behandeling. Als een VPT klant behandeling nodig heeft dan kan dat via extramurale behandeling. Betekent dit dat voor alle VPT klanten die nu een VPT met behandeling hebben deze behandelzorg per 1 januari a.s. omgezet moet worden in extramurale behandeling? Waarom beperkt u deze afspraak niet tot nieuwe VPT klanten vanaf 2027?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"36";"8.3";"Voor zorg met verblijf maakt u afspraken over plekken met behandeling. U schrijft dat het uitgangspunt is dat het aantal dagen met behandeling gelijk blijft. De afspraak voor 2027 baseert u op het totaal aantal gedeclareerde en vergoede dagen in 2025. Waarom baseert u de afspraak voor 2027 niet op de definitieve herschikkingsafspraak 2026?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"37";"8.3";"Het uitgangspunt in het inkoopbeleid van Zilveren Kruis is dat het aantal dagen met behandeling gelijk blijft en dat een vast aantal plekken met behandeling wordt afgesproken voor alle VV-verblijfprestaties. De zorgzwaarte van de cliëntpopulatie neemt echter toe en aanbieders geven aan dat historische ratio’s daardoor niet langer passend zijn. In het HLO is daarnaast een beweging richting 100% inclusief behandeling opgenomen. Kunt u toelichten hoe Zilveren Kruis zich tot deze ontwikkeling verhoudt en waarom wordt gekozen voor dit uitgangspunt?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"38";"8.3";"U stelt: Het uitgangspunt is dat het aantal dagen met behandeling gelijk blijft. Kunt u bevestigen dat zorgaanbieders een aantal dagen met behandeling af kunnen spreken met het zorgkantoor dat passend is bij de zorgvraag van de cliëntenpopulatie van de aanbieder? Zo nee, waarom niet?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"39";"8.5";"Kan het zorgkantoor verduidelijken of de genoemde toepassingen bedoeld zijn als voorbeelden van kansrijke werkwijzen, of als concrete verwachting richting alle Wlz-aanbieders? En als het laatste het geval is: op basis van welke onderbouwing, voor welke doelgroepen en met welke randvoorwaarden en bekostiging?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"40";"8.5";"Hoe beoordeelt het zorgkantoor of de innovatie bewezen effectief is? Wordt daarbij ook rekening gehouden met medewerkers- en clienttevredenheid, administratieve lastenverlichting, etc.?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"41";"8.5";"Wij onderschrijven dat de genoemde innovaties veelbelovend kunnen zijn, mits zij zorgvuldig en contextafhankelijk worden geïmplementeerd. Wij zijn het echter niet eens met de stelling dat deze innovaties reeds bewezen effectief zijn binnen de intramurale setting. Voor sommige innovaties, waaronder beeldzorg, wordt bovendien nog gewerkt aan een gezamenlijk standpunt. Daarmee achten wij het te stellig om deze innovaties te presenteren als overal bewezen effectief, overal toepasbaar of zonder meer verplichtend. Wij verzoeken het zorgkantoor deze nuance expliciet in de passage te verwerken. Is het zorgkantoor bereid de passage op dit punt aan te passen? Zo nee, waarom niet?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"42";"8.5";"In het inkoopbeleid wordt gesteld dat de zorgaanbieder ambassadeur is van het innovatietraject. Kunt u verduidelijken of Zilveren Kruis hierin wel cofinanciering beschikbaar stelt voor de innovatie? Indien dit niet het geval is, kunt u toelichten waarom ervoor gekozen is geen financiële bijdrage te leveren aan deze trajecten? Andere zorgkantoren hanteren voor innovatieprojecten immers wel vormen van cofinanciering."
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"43";"8.6";"Sinds 1 juli 2024 is het Generiek Kompas Samen werken aan kwaliteit van bestaan van kracht voor de VV. Het Generiek Kompas heeft kwaliteit van bestaan als uitgangspunt. Is er een reden waarom er in uw inkoopbeleid is afgeweken van het taalgebruik van het Generiek Kompas (kwaliteitskader in plaats van het Generiek Kompas en kwaliteit van leven in plaats van kwaliteit van bestaan)?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"44";"8.8";"U geeft aan in gesprek te gaat met zorgaanbieders met een hoog positief resultaat. Kunt u toelichten wat u verstaat onder een ‘hoog positief resultaat’? En kunt u vervolgens toelichten op welke analyses de keuze voor deze grens is gebaseerd en welke betekenis aan deze grens wordt toegekend bij de beoordeling of een gesprek over het tarief plaatsvindt?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"45";"8.8";"Kunt u toelichten hoe wordt omgegaan met zorgaanbieders waarvan het rendement zich rond de door het zorgkantoor gehanteerde grens bevindt en hoe een consistente toepassing wordt geborgd?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"46";"8.8";"Kunt u toelichten welke mogelijke uitkomsten het genoemde gesprek bij ‘een hoog positief resultaat’ kan hebben en in hoeverre het zorgkantoor daarbij beleidsruimte heeft om het tarief aan te passen?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"47";"8.8";"Kunt u toelichten welke afwegingen ten grondslag hebben gelegen aan de keuze om bij ‘een hoog positief resultaat’ een gesprek over het tarief te voeren, mede in het licht van investeringen en continuïteit van zorg?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"48";"8.8";"Kunt u bevestigen dat het rendement van een hoog positief rendement wordt berekend als het nettoresultaat gedeeld door de som der bedrijfsopbrengsten, en toelichten waarom dit totale ondernemingsrendement wordt gehanteerd als criterium bij de beoordeling of een gesprek over het tarief wordt gevoerd?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"49";"8.8";"Kunt u toelichten over welke periode het rendement wordt vastgesteld en op basis van welke financiële gegevens?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"50";"8.11";"Het wetsvoorstel Wet bevordering integriteit zorgaanbieders stelt regels ten aanzien van de marktconformiteit van transacties en winstuitkeringen. Om te voorkomen dat zorgaanbieders moeten werken met twee verschillende normen (een wettelijk, een contractueel) voor hetzelfde vraagstuk willen wij het zorgkantoor verzoeken om pas op de plaats te maken en de wetgeving terzake af te wachten. Bent u hiertoe bereid? Is dit rechtmatig? Is dit spannend voor onze leden?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"51";"10.18";"Op grond van welke criteria komt een aanbieder in aanmerking voor een overeenkomst van drie jaar?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"52";"10.24";"Kunt u toelichten of nieuwe zorgaanbieders in aanmerking komen voor op- en afslagen? Zo nee, kan het zorgkantoor juridisch onderbouwen waarom nieuwe zorgaanbieders hier geen aanspraak op kunnen maken?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"53";"10.4";"Dit nieuwe Inkoopbeleid voor 2027-2029 is een nieuw inkoopbeleid voor de komende drie jaar. Het is voor aanbieders onmogelijk in één vragenprocedure alle mogelijke consequenties te overzien. De antwoorden die op de vragen gegeven worden en worden gepubliceerd op 1 juli a.s. kunnen aanleiding zijn voor aanvullende vragen. Omdat het gaat voor een inkoopbeleid voor 3 jaar verzoeken wij u om na het verschijnen van de Nota van Inlichtingen nogmaals de gelegenheid te geven voor het stellen van vragen. Gaat u ons verzoek voor een tweede ronde van de vragenprocedure overnemen? Zo nee, waarom niet?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"54";"10.7";"In 10.7 geeft u aan dat een aanbieder in moet schrijven “bij die zorgkantoren die verantwoordelijk zijn voor de regio waarbinnen u zorg levert of wilt leveren”. Dit is niet duidelijk. In dit document lijkt het woord regio steeds overeen te komen met zorgkantoorregio’s en in zorgkantoorregio’s is maar één zorgkantoor verantwoordelijk. Het kan zijn dat u in dit geval met regio het werkgebied van zorgaanbieders bedoelt, die betrekking kan hebben op meer zorgkantoorregio’s. Kunt u nader toelichten wat hier wordt bedoeld en/of de betreffende zin aanpassen?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"55";"10.8";"In paragraaf 10.8 schrijft u: Als de inschrijving van de zorgaanbieder wordt afgewezen n.a.v. de inschrijving uiterlijk 31 juli 2026 17.00 uur, heeft de zorgaanbieder geen mogelijkheid meer om opnieuw (tussentijds) in te schrijven voor het betreffende jaar (2027). Hij kan zich dan pas in de zomer van 2027 weer inschrijven om voor een overeenkomst voor 2028 in aanmerking te komen. Betreft dit alleen nieuwe aanbieders of ook bestaande aanbieders die al één of veel meer jaren een contract met Zilveren Kruis hebben?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"56";"10.11";"U schrijf in paragraaf 10.11 dat wij met de inschrijving en ondertekening van de bestuursverklaring instemmen met het geschetste inkoopperspectief voor de komende 3 jaar. Leidt de ‘instemming’ met het perspectief tot beperkingen in de mogelijkheden van het stellen van vragen over het inkoopbeleid in de komende jaren? Wij refereren daarbij aan de afgelopen jaren, waarbij vragen stellen beperkt werd tot gewijzigde onderdelen van het inkoopbeleid. Als dat zo is, dan hebben we daar bezwaar tegen, want ook gewijzigde omstandigheden kunnen leiden tot een ander inzicht op het inkoopbeleid en leiden tot nieuwe vragen over het inkoopbeleid dat op zichzelf ongewijzigd wordt voortgezet."
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"57";"10.22";"In paragraaf 10.22 wordt ingegaan op de vervaltermijn voor kortgeding tegen de tarieven en voorlopige terugkoppeling. Ten aanzien van de tarieven wordt alleen ingegaan op de definitieve vertrektarieven, maar niet op de tarieven van Zilveren Kruis, die qua hoogte hetzelfde zijn, maar geen vertrektarieven zijn. Wij nemen aan dat de kortgedingprocedure ook de tarieven van Zilveren Kruis omvat. Klopt dat? Zo nee, wanneer en/of hoe kan daar dan een procedure tegen worden gestart?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"58";"11.4";"In paragraaf 11.4 over herschikking schrijft u: ‘Zijn de middelen per sector niet toereikend? Dan passen we een onzekerheidspercentage toe op de geëxtrapoleerde productierealisatie van dat jaar.’ Dit begrijpen wij niet. Gaat het om sectoren of om de clusters binnen de sectoren? Wat bedoelt u met ‘onzekerheidspercentage’ en hoe wordt dat dan toegepast. Kunt u met een voorbeeld aangeven wat in deze zinnen over herschikking u bedoelt?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"59";"11.4";"Bij de definitieve herschikking staat: “Voor de definitieve productieafspraak gebruiken we de goedgekeurde declaratiegegevens uit de AW319 van het betreffende kalenderjaar. We gebruiken daarvoor uw goedgekeurde declaraties tot en met juni op peildatum 1 augustus van elk jaar als de basis voor de herschikking..” Ook geeft u aan: “In de herschikking extrapoleren wij op basis van goedgekeurde declaraties.” Wij nemen aan dat wij voldoende ruimte houden om in de periode na het herschikkingsmoment het volumeplafond nog te realiseren als wij op het moment van de herschikking naar verhouding onder het volumeplafond zitten. Er zijn dan immers nog een aantal maanden te gaan en bij de nacalculatie kan de productie alsnog worden gecorrigeerd indien nodig. Is dit conform hoe u voornemens bent hiermee om te gaan? Zo niet, hoe is uw werkwijze dan precies?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"60";"11.5";"U stelt: als er meer dagen verblijf met behandeling worden gedeclareerd dan overeengekomen, worden deze bij voorbaat uitgesloten van de nacalculatie. Uiteindelijk is de zorgbehoefte van cliënten leidend voor het vervullen van de zorgplicht van zorgkantoren. Dat kan resulteren in meer dagen verblijf met behandeling dan gecontracteerd. Onder die omstandigheid is het niet redelijk om een overschrijding bij voorbaat af te straffen door een uitsluiting van de nacalculatie. Bent u bereid deze voorwaarde te schrappen?"
